H,B,HE_EQUALS_USE_HASHCODE,hudson.tasks.junit.TestResult$BlocksWithChildren,NO_FIELD,equals(Ljava/lang/Object;)Z,955,966,1
M,D,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,hudson.tasks.junit.SuiteResult,NO_FIELD,getEnclosingNodeDisplayName(Lorg/jenkinsci/plugins/workflow/job/WorkflowRun;Ljava/lang/String;)Ljava/lang/String;,304,304,1
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,parent,getParent()Lhudson/tasks/junit/TestResult;,405,405,0
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,cases,getCases()Ljava/util/List;,420,420,0
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,enclosingBlockNames,getEnclosingBlockNames()Ljava/util/List;,368,368,1
M,V,EI_EXPOSE_REP,hudson.tasks.junit.SuiteResult,enclosingBlocks,getEnclosingBlocks()Ljava/util/List;,357,357,1
L,B,SE_TRANSIENT_FIELD_NOT_RESTORED,hudson.tasks.junit.SuiteResult,casesByName,NO_METHOD,-1,-1,0
L,B,SE_TRANSIENT_FIELD_NOT_RESTORED,hudson.tasks.junit.SuiteResult,parent,NO_METHOD,-1,-1,0
L,D,REC_CATCH_EXCEPTION,hudson.tasks.junit.SuiteResult,NO_FIELD,getEnclosingNodeDisplayName(Lorg/jenkinsci/plugins/workflow/job/WorkflowRun;Ljava/lang/String;)Ljava/lang/String;,311,311,1
L,D,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,hudson.tasks.test.AggregatedTestResultPublisher$TestResultProjectAction,project,NO_METHOD,388,388,0
L,D,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,hudson.tasks.test.AggregatedTestResultAction$ChildReport,child,NO_METHOD,145,145,0
L,D,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,hudson.tasks.junit.SuiteResult$SuiteResultParserConfigurationContext,xmlReport,NO_METHOD,157,157,0
L,D,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,hudson.tasks.test.AggregatedTestResultAction$ChildReport,run,NO_METHOD,146,146,0
L,M,IS2_INCONSISTENT_SYNC,hudson.tasks.test.AggregatedTestResultPublisher$TestResultAction,totalCount,NO_METHOD,198,198,0
L,M,IS2_INCONSISTENT_SYNC,hudson.tasks.test.AggregatedTestResultPublisher$TestResultAction,failCount,NO_METHOD,193,193,0
L,M,IS2_INCONSISTENT_SYNC,hudson.tasks.test.AggregatedTestResultPublisher$TestResultAction,individuals,NO_METHOD,235,235,0
L,M,IS2_INCONSISTENT_SYNC,hudson.tasks.test.AggregatedTestResultPublisher$TestResultAction,noFingerprints,NO_METHOD,251,251,0
L,M,IS2_INCONSISTENT_SYNC,hudson.tasks.test.AggregatedTestResultPublisher$TestResultAction,didntRun,NO_METHOD,243,243,0
